#    rad      RA           Dec          Plx       e        pmRA      e       pmDE      e      RUWE       Gmag       e        BPmag       e        RPmag       e       RVDR2    e   Tefftemp loggtemp
 1.5337  312.8367548471700  +44.3286697667300  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  21.028494  0.021345  21.467285  0.103095  19.471394  0.095137  9999.99 99.99   9999.9     99.9
 1.5432  312.8952928605686  +44.3343274984269      0.1528  0.1284     -2.315  0.133     -3.460  0.141     1.000  18.219522  0.003522  20.724590  0.104136  16.785900  0.009311  9999.99 99.99   9999.9     99.9
 1.5475  312.8864815028322  +44.3262277069562     -0.1556  0.3454     -4.734  0.368     -7.254  0.351     1.014  19.712275  0.004658  21.235584  0.165037  18.347080  0.018228  9999.99 99.99   9999.9     99.9
 1.5627  312.8367065415796  +44.3637844969260      0.7032  0.0629     -1.983  0.069     -1.005  0.071     0.950  17.175138  0.002887  18.521507  0.015253  16.023342  0.005596  9999.99 99.99   9999.9     99.9
 1.5642  312.8270695290552  +44.3433882863950     13.7364  0.0137    -29.223  0.015    -10.946  0.015     1.059  13.751738  0.002775  14.967201  0.003119  12.657953  0.003838  9999.99 99.99   9999.9     99.9
 1.5848  312.8395210027981  +44.3256386937063     -0.4374  1.5551     -3.965  1.438     -5.393  1.855     1.097  20.833760  0.011925  21.517359  0.288028  19.578638  0.079228  9999.99 99.99   9999.9     99.9
 1.5892  312.8560211098800  +44.3198993827900  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  21.006868  0.020629  21.879333  0.994891  19.771944  0.125302  9999.99 99.99   9999.9     99.9
 1.5922  312.8920676264764  +44.3292600934140      2.6567  1.8018     -3.070  1.999     -6.164  1.999     0.975  20.795502  0.012846  21.646772  0.155740  19.371810  0.165701  9999.99 99.99   9999.9     99.9
 1.5960  312.8820393210900  +44.3229686706500  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  20.992500  0.019304  99.999999 99.999999  99.999999 99.999999  9999.99 99.99   9999.9     99.9
 1.5994  312.8825464654632  +44.3231303932444      0.3518  0.2528     -0.309  0.263     -2.701  0.258     1.015  19.243680  0.004031  20.639488  0.126530  17.789982  0.020919  9999.99 99.99   9999.9     99.9
 1.6029  312.8970184772508  +44.3572436799654     -0.0383  0.4318     -3.775  0.445     -3.829  0.483     1.091  20.031021  0.005565  21.309847  0.118139  18.706306  0.025625  9999.99 99.99   9999.9     99.9
 1.6253  312.8800806949326  +44.3216561684842      1.5335  0.1618      5.285  0.188      1.636  0.171     1.003  18.646421  0.003463  19.952374  0.054288  17.493332  0.014494  9999.99 99.99   9999.9     99.9
 1.6341  312.9010691216700  +44.3432376836800  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  21.137379  0.049588  20.796740  0.164705  19.773043  0.133200  9999.99 99.99   9999.9     99.9
 1.6605  312.9018251279249  +44.3474449108386      0.6791  0.2300     -2.855  0.235     -3.753  0.261     0.961  19.186178  0.004124  20.464850  0.101597  17.984863  0.015319  9999.99 99.99   9999.9     99.9
 1.6618  312.8889242689488  +44.3666308881312      1.0782  0.2759     -5.111  0.289     -7.964  0.285     0.966  19.555607  0.004343  21.037954  0.125209  18.319672  0.018694  9999.99 99.99   9999.9     99.9
 1.6707  312.8532379085422  +44.3190236664096      1.1697  0.0286     -1.534  0.031    -12.942  0.031     1.083  15.019810  0.003344  17.143105  0.009939  13.676113  0.006000  9999.99 99.99   9999.9     99.9
